"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","y"
"25733",40,"blue-collar","married","basic.6y","no","yes","no","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"30019",30,"unemployed","single","university.degree","no","yes","no","cellular","apr","wed",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"36810",36,"self-employed","single","university.degree","no","no","no","cellular","jun","mon",1,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
"40303",34,"admin.","married","university.degree","no","yes","no","cellular","jul","thu",1,6,3,"success",-1.7,94.215,-40.3,"yes"
"20334",38,"technician","married","professional.course","no","yes","no","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"40230",45,"management","married","university.degree","no","yes","no","cellular","jul","thu",2,6,2,"success",-1.7,94.215,-40.3,"yes"
"40653",42,"admin.","single","high.school","no","no","no","cellular","sep","wed",1,14,1,"success",-1.1,94.199,-37.5,"yes"
"37997",49,"admin.","married","high.school","no","no","no","cellular","sep","tue",1,3,1,"success",-3.4,92.379,-29.8,"yes"
"37580",17,"student","single","basic.9y","no","unknown","unknown","cellular","aug","fri",2,999,1,"failure",-2.9,92.201,-31.4,"yes"
"8822",46,"blue-collar","married","professional.course","no","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,"yes"
"20534",36,"admin.","single","university.degree","no","yes","no","cellular","aug","tue",7,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"18318",36,"management","married","university.degree","no","no","no","cellular","jul","wed",10,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"38317",74,"retired","married","basic.9y","no","yes","no","cellular","oct","thu",2,6,1,"success",-3.4,92.431,-26.9,"yes"
"30141",39,"technician","married","professional.course","no","yes","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,"yes"
"39118",26,"technician","single","university.degree","no","yes","no","cellular","dec","tue",1,5,1,"success",-3,92.713,-33,"yes"
"35353",25,"blue-collar","single","basic.9y","no","yes","no","cellular","may","fri",3,999,1,"failure",-1.8,92.893,-46.2,"yes"
"38641",56,"management","married","university.degree","no","unknown","unknown","cellular","nov","tue",1,999,0,"nonexistent",-3.4,92.649,-30.1,"yes"
"41077",50,"blue-collar","divorced","professional.course","no","yes","no","cellular","nov","mon",1,999,0,"nonexistent",-1.1,94.767,-50.8,"yes"
"30070",26,"student","single","high.school","no","yes","no","cellular","apr","thu",4,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"39167",34,"technician","single","university.degree","no","yes","no","cellular","mar","thu",2,999,0,"nonexistent",-1.8,93.369,-34.8,"yes"
"40493",42,"blue-collar","married","basic.9y","no","yes","no","cellular","aug","fri",1,6,1,"success",-1.7,94.027,-38.3,"yes"
"20757",34,"admin.","single","university.degree","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"37832",50,"admin.","married","university.degree","no","no","yes","cellular","aug","thu",1,15,2,"failure",-2.9,92.201,-31.4,"yes"
"14712",57,"blue-collar","divorced","basic.6y","unknown","no","no","cellular","jul","tue",6,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"25854",31,"blue-collar","single","high.school","no","yes","no","cellular","nov","wed",1,6,1,"success",-0.1,93.2,-42,"yes"
"30149",30,"admin.","single","university.degree","no","no","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"2685",51,"admin.","married","basic.4y","unknown","yes","no","telephone","may","wed",3,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"30097",27,"admin.","single","university.degree","no","yes","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"39954",37,"unemployed","married","university.degree","unknown","yes","no","cellular","jun","mon",3,3,2,"success",-1.7,94.055,-39.8,"yes"
"28579",42,"blue-collar","married","basic.4y","no","no","no","cellular","apr","wed",3,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"34471",33,"blue-collar","single","basic.9y","unknown","no","no","cellular","may","thu",1,999,1,"failure",-1.8,92.893,-46.2,"yes"
"37126",18,"student","single","basic.9y","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"35098",33,"blue-collar","married","professional.course","no","yes","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,"yes"
"19177",34,"admin.","married","university.degree","unknown","no","no","cellular","aug","tue",2,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"39559",36,"blue-collar","married","unknown","no","no","no","cellular","apr","fri",1,6,1,"success",-1.8,93.749,-34.6,"yes"
"38026",27,"admin.","single","university.degree","no","no","no","cellular","sep","wed",1,999,0,"nonexistent",-3.4,92.379,-29.8,"yes"
"39276",82,"retired","married","professional.course","no","yes","no","telephone","mar","mon",2,999,0,"nonexistent",-1.8,93.369,-34.8,"yes"
"13461",27,"admin.","single","university.degree","no","no","no","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"38656",54,"technician","married","basic.9y","no","no","no","cellular","nov","tue",2,999,1,"failure",-3.4,92.649,-30.1,"yes"
"30404",29,"admin.","single","professional.course","no","no","no","cellular","apr","thu",3,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"39496",77,"retired","married","high.school","no","yes","no","cellular","apr","thu",7,999,0,"nonexistent",-1.8,93.749,-34.6,"yes"
"37744",87,"retired","divorced","basic.4y","no","no","no","cellular","aug","fri",1,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"39182",34,"blue-collar","married","high.school","no","yes","no","cellular","mar","fri",1,999,0,"nonexistent",-1.8,93.369,-34.8,"yes"
"36540",30,"admin.","single","university.degree","no","yes","no","cellular","jun","wed",3,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
